"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"25040445006005","0","0","1","0","0","0","0","20260324","20260327"
"26037063005013","0","0","0","1","0","0","0","20260324","20260327"
"25040507002005","0","0","1","0","0","0","0","20260324","20260327"
"25001101001004","0","0","1","0","0","0","0","20260324","20260327"
"25206025012011","0","0","1","0","0","0","0","20260324","20260327"
"25001051001004","0","0","1","0","0","0","0","20260324","20260327"
"26040421005005","0","0","0","1","0","0","0","20260324","20260327"
"26201016009011","0","0","0","1","0","0","0","20260324","20260327"
"26040425007005","0","0","0","1","0","0","0","20260324","20260327"
"27940200002007","0","0","0","0","1","0","0","20260324","20260327"
"24037051005013","0","1","0","0","0","0","0","20260324","20260327"
"24000884004009","0","1","0","0","0","0","0","20260324","20260327"
"25001063008004","0","0","1","0","0","0","0","20260324","20260327"
"24123169002015","0","1","0","0","0","0","0","20260324","20260327"
"25041211003005","0","0","1","0","0","0","0","20260324","20260327"
"25009055001004","0","0","1","0","0","0","0","20260324","20260327"
"26001095007004","0","0","0","1","0","0","0","20260324","20260327"
"27201061017011","0","0","0","0","1","0","0","20260324","20260327"
"25201048004011","0","0","1","0","0","0","0","20260324","20260327"
"27037058004013","0","0","0","0","1","0","0","20260324","20260327"
"25001125004004","0","0","1","0","0","0","0","20260324","20260327"
"25001194001004","0","0","1","0","0","0","0","20260324","20260327"
"25037026003013","0","0","1","0","0","0","0","20260324","20260327"
"24037018007013","0","1","0","0","0","0","0","20260324","20260327"
"25037083004013","0","0","1","0","0","0","0","20260324","20260327"
"26040437003005","0","0","0","1","0","0","0","20260324","20260327"
"25005028008004","0","0","1","0","0","0","0","20260324","20260327"
"25206013004011","0","0","1","0","0","0","0","20260324","20260327"
"24040450007005","0","1","0","0","0","0","0","20260324","20260327"
"27201048008011","0","0","0","0","1","0","0","20260324","20260327"
"27123071002015","0","0","0","0","1","0","0","20260324","20260327"
"27123350002015","0","0","0","0","1","0","0","20260324","20260327"
"26040610003005","0","0","0","1","0","0","0","20260324","20260327"
"26041218010005","0","0","0","1","0","0","0","20260324","20260327"
"27123177002015","0","0","0","0","1","0","0","20260324","20260327"
"25204020009011","0","0","1","0","0","0","0","20260324","20260327"
"25206008013011","0","0","1","0","0","0","0","20260324","20260327"
"26001190001004","0","0","0","1","0","0","0","20260324","20260327"
"27005016005004","0","0","0","0","1","0","0","20260324","20260327"
"26071502034004","0","0","0","1","0","0","0","20260324","20260327"
"25040602007005","0","0","1","0","0","0","0","20260324","20260327"
"26040503002005","0","0","0","1","0","0","0","20260324","20260327"
"27540901003005","0","0","0","0","1","0","0","20260324","20260327"
"27123456002015","0","0","0","0","1","0","0","20260324","20260327"
"27037071001013","0","0","0","0","1","0","0","20260324","20260327"
"24037063001013","0","1","0","0","0","0","0","20260324","20260327"
"27040511009005","0","0","0","0","1","0","0","20260324","20260327"
"24041231002005","0","1","0","0","0","0","0","20260324","20260327"
"25123481002015","0","0","1","0","0","0","0","20260324","20260327"
"27001051005004","0","0","0","0","1","0","0","20260324","20260327"
"27001170002004","0","0","0","0","1","0","0","20260324","20260327"
"27451187002007","0","0","0","0","1","0","0","20260324","20260327"
"27940293002007","0","0","0","0","1","0","0","20260324","20260327"
"25005057003004","0","0","1","0","0","0","0","20260324","20260327"
"27037002004013","0","0","0","0","1","0","0","20260324","20260327"
"26000884008009","0","0","0","1","0","0","0","20260324","20260327"
"27001063001004","0","0","0","0","1","0","0","20260324","20260327"
"25037043002013","0","0","1","0","0","0","0","20260324","20260327"
"27041226005005","0","0","0","0","1","0","0","20260324","20260327"
"26071502046004","0","0","0","1","0","0","0","20260324","20260327"
"25005016001004","0","0","1","0","0","0","0","20260324","20260327"
"27451081002007","0","0","0","0","1","0","0","20260324","20260327"
"25001113008004","0","0","1","0","0","0","0","20260324","20260327"
"26041218009005","0","0","0","1","0","0","0","20260324","20260327"
"26040408008005","0","0","0","1","0","0","0","20260324","20260327"
"26201068007011","0","0","0","1","0","0","0","20260324","20260327"
"25204019008011","0","0","1","0","0","0","0","20260324","20260327"
"25201061013011","0","0","1","0","0","0","0","20260324","20260327"
"25001075004004","0","0","1","0","0","0","0","20260324","20260327"
"24206017004011","0","1","0","0","0","0","0","20260324","20260327"
"27151181002007","0","0","0","0","1","0","0","20260324","20260327"
"27001169001004","0","0","0","0","1","0","0","20260324","20260327"
"27005036006004","0","0","0","0","1","0","0","20260324","20260327"
"25123022002015","0","0","1","0","0","0","0","20260324","20260327"
"26005057005004","0","0","0","1","0","0","0","20260324","20260327"
"25040408006005","0","0","1","0","0","0","0","20260324","20260327"
"27001034006004","0","0","0","0","1","0","0","20260324","20260327"
"26070507001004","0","0","0","1","0","0","0","20260324","20260327"
"27201020015011","0","0","0","0","1","0","0","20260324","20260327"
"25001092003004","0","0","1","0","0","0","0","20260324","20260327"
"24040433008005","0","1","0","0","0","0","0","20260324","20260327"
"26001071004004","0","0","0","1","0","0","0","20260324","20260327"
"26206037010011","0","0","0","1","0","0","0","20260324","20260327"
"25001095005004","0","0","1","0","0","0","0","20260324","20260327"
"24041215003005","0","1","0","0","0","0","0","20260324","20260327"
"24209013013011","0","1","0","0","0","0","0","20260324","20260327"
"24040430006005","0","1","0","0","0","0","0","20260324","20260327"
"24201024011011","0","1","0","0","0","0","0","20260324","20260327"
"26071502010004","0","0","0","1","0","0","0","20260324","20260327"
"26070507013004","0","0","0","1","0","0","0","20260324","20260327"
"24040515005005","0","1","0","0","0","0","0","20260324","20260327"
"27209008004011","0","0","0","0","1","0","0","20260324","20260327"
"27041202002005","0","0","0","0","1","0","0","20260324","20260327"
"26040605012005","0","0","0","1","0","0","0","20260324","20260327"
"25201081002011","0","0","1","0","0","0","0","20260324","20260327"
"27201019002011","0","0","0","0","1","0","0","20260324","20260327"
"25005001003004","0","0","1","0","0","0","0","20260324","20260327"
"27151231002007","0","0","0","0","1","0","0","20260324","20260327"
"26201041002011","0","0","0","1","0","0","0","20260324","20260327"
"26071502022004","0","0","0","1","0","0","0","20260324","20260327"
"25123301002015","0","0","1","0","0","0","0","20260324","20260327"
"26040507004005","0","0","0","1","0","0","0","20260324","20260327"
"26209021011011","0","0","0","1","0","0","0","20260324","20260327"
"24040429005005","0","1","0","0","0","0","0","20260324","20260327"
"27204024004011","0","0","0","0","1","0","0","20260324","20260327"
"26040511007005","0","0","0","1","0","0","0","20260324","20260327"
