"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"327005","327005","CHOQUEHUANCA - NS","-12.0985405","-77.0370191","","","0","","America/Lima","0"
"327007","327007","DASSO - NS","-12.1064722","-77.0394861","","","0","","America/Lima","0"
"327006","327006","ANTONIO PEZET - NS","-12.1029488","-77.0387327","","","0","","America/Lima","0"
"810164","810164","PINOS B","-12.054","-76.97512","","","0","","America/Lima","0"
"810165","810165","PTE AZUL B","-12.0509038","-76.9770238","","","0","","America/Lima","0"
"810166","810166","PERALES B","-12.0473219","-76.9809988","","","0","","America/Lima","0"
"810167","810167","NOCHETO B","-12.0440638","-76.9846811","","","0","","America/Lima","0"
"810168","810168","ATARJEA B","-12.0414","-76.98709","","","0","","America/Lima","0"
"810169","810169","PRIALE B","-12.03379","-76.9900769","","","0","","America/Lima","0"
"810160","810160","JAVIER PRADO B","-12.083783","-76.98069","","","0","","America/Lima","0"
"810161","810161","PALMERAS B","-12.07381","-76.97402","","","0","","America/Lima","0"
"810162","810162","PTE.SANTA ROSA B","-12.0678369","-76.971623","","","0","","America/Lima","0"
"810163","810163","SANTA ANITA B.","-12.05938","-76.97272","","","0","","America/Lima","0"
"600","600","Aro - OE","-12.0064419","-76.8500908","","","0","","America/Lima","0"
"601","601","Grifo Bimer - OE","-12.0060258","-76.84789","","","0","","America/Lima","0"
"602","602","Horacio -OE","-12.004785","-76.8445497","","","0","","America/Lima","0"
"603","603","Grifo Primax - OE","-12.0022719","-76.8414169","","","0","","America/Lima","0"
"604","604","Entrada de Huaycan - NS","-12.00017","-76.8389219","","","0","","America/Lima","0"
"605","605","Aviacion inicio 201 OE","-12.0875411","-77.0024655","","","0","","America/Lima","0"
"606","606","Petit Thouars OE","-12.0922686","-77.0327966","","","0","","America/Lima","0"
"607","607","Cruce - NS","-12.0065169","-76.8352608","","","0","","America/Lima","0"
"608","608","Av. los Incas - NS","-12.00877","-76.8317038","","","0","","America/Lima","0"
"609","609","Seguro - NS","-12.0101169","-76.8297308","","","0","","America/Lima","0"
"810131","810131","TRILCE B","-12.2047369","-77.0090938","","","0","","America/Lima","0"
"810132","810132","TRANQUERA B","-12.206243","-77.0108588","","","0","","America/Lima","0"
"810133","810133","ESPAÑOLA B","-12.2079338","-77.0148461","","","0","","America/Lima","0"
"810134","810134","BALLESTAS B","-12.20613","-77.0175211","","","0","","America/Lima","0"
"810135","810135","LOS CEDROS B","-12.2031269","-77.0154788","","","0","","America/Lima","0"
"810136","810136","PLAZA VEA B","-12.1969","-77.01096","","","0","","America/Lima","0"
"810137","810137","COLEGIO B","-12.19296","-77.00819","","","0","","America/Lima","0"
"810138","810138","CHIRA B","-12.1905","-77.00644","","","0","","America/Lima","0"
"810130","810130","SAN LORENZO B.","-12.2034749","-77.0072919","","","0","","America/Lima","0"
"610","610","Comisaria - NS","-12.0120197","-76.8270327","","","0","","America/Lima","0"
"611","611","Av. 15 de julio - NS","-12.01337","-76.8251108","","","0","","America/Lima","0"
"612","612","Tagore OE 209","-12.0286594","-76.9242041","","","0","","America/Lima","0"
"613","613","Ovalo Santa Rosa - OE","-12.0154325","-76.8188791","","","0","","America/Lima","0"
"810128","810128","CHORRILLOS A","-12.202575","-77.0057988","","","0","","America/Lima","0"
"614","614","Pisco-Grifo Pretroamerica","-13.7172697","-76.20534","","","0","","America/Lima","0"
"810129","810129","SAN MARCOS B","-12.2023188","-77.005513","","","0","","America/Lima","0"
"615","615","Backus EO 209","-12.0492527","-76.9393569","","","0","","America/Lima","0"
